"fnu","area","region","comuna","sex","age","ses","phone","edu","pond","agecat","approval"
1032,1,10,10202,1,27,3,2,4,1.254,2,3
921,1,9,9201,1,28,4,2,3,0.809,2,2
79,1,2,2101,1,65,3,2,2,0.118,5,3
840,1,9,9101,1,25,3,2,3,1.045,2,1
459,1,6,6115,1,25,4,2,3,1.252,2,2
141,1,4,4101,2,25,3,2,4,0.643,2,3
150,1,4,4101,2,47,4,2,3,0.441,4,3
629,1,8,8101,1,51,2,1,3,2.744,4,1
283,1,5,5109,2,38,3,9,3,0.445,3,9
619,1,8,8101,1,77,3,1,3,0.299,5,1
1827,1,13,13404,1,29,2,9,4,0.392,2,2
755,1,8,8301,2,49,3,2,3,0.709,4,3
767,1,8,8302,2,82,4,2,2,1.308,5,2
770,1,8,8305,2,21,4,2,4,1.163,1,3
142,1,4,4101,2,25,3,1,4,0.643,2,3
160,1,4,4102,1,45,3,2,3,1.322,4,2
945,1,14,14101,2,43,4,2,2,0.026,3,2
167,1,4,4102,2,74,3,1,3,0.693,5,2
125,1,3,3101,2,33,5,2,2,0.328,2,3
155,1,4,4101,2,25,3,2,4,1.344,2,3
763,1,8,8302,1,19,3,2,3,1.355,1,2
156,1,4,4101,1,49,4,2,3,1.672,4,2
1080,1,12,12101,1,28,4,1,3,1.024,2,2
936,2,9,9204,2,46,4,2,2,0.208,4,1
1788,2,13,13303,2,78,4,2,1,0.757,5,1
114,1,2,2301,2,28,2,2,4,0.646,2,2
1453,1,13,13119,2,37,3,1,4,1.776,3,1
765,1,8,8302,2,78,3,9,2,0.872,5,3
1306,1,13,13112,2,38,4,1,3,0.531,3,1
1485,1,13,13119,1,36,3,1,4,4.413,3,3
66,1,2,2101,1,24,2,1,4,1.455,1,3
463,1,6,6117,2,46,4,9,2,0.161,4,2
779,2,8,8307,2,34,4,2,1,0.497,2,3
623,1,8,8101,1,43,2,1,4,1.205,3,2
1431,1,13,13118,2,19,3,2,3,1.231,1,2
751,1,8,8301,2,20,4,2,4,0.804,1,2
342,2,5,5304,1,56,5,2,2,0.92,5,1
1841,1,13,13501,1,71,4,1,2,0.817,5,1
964,2,14,14103,1,42,4,2,2,0.456,3,3
165,1,4,4102,2,62,3,2,2,0.346,5,3
